TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
SAS,2/3/14,SAS @ NOP,W,242,102,38,81,46.9,5,18,27.8,21,25,84,5,29,34,20,9,12,7,16,7,,,,,,,,,,
DAL,2/3/14,DAL vs. CLE,W,241,124,44,80,55,12,26,46.2,24,26,92.3,10,35,45,30,4,5,13,23,17,,,,,,,,,,
CHI,2/3/14,CHI @ SAC,L,242,70,22,78,28.2,4,20,20,22,34,64.7,8,22,30,17,11,2,14,24,-29,,,,,,,,,,
BKN,2/3/14,BKN vs. PHI,W,240,108,32,72,44.4,10,25,40,34,39,87.2,5,25,30,25,15,6,13,24,6,,,,,,,,,,
MIA,2/3/14,MIA vs. DET,W,239,102,39,85,45.9,7,20,35,17,21,81,13,31,44,24,13,6,20,22,6,,,,,,,,,,
BOS,2/2/14,BOS vs. ORL,W,240,96,41,82,50,4,14,28.6,10,12,83.3,10,34,44,24,7,3,16,18,7,,,,,,,,,,
ORL,2/2/14,ORL @ BOS,L,240,89,33,80,41.3,5,14,35.7,18,22,81.8,13,26,39,18,9,4,14,13,-7,,,,,,,,,,
NOP,2/1/14,NOP vs. CHI,W,239,88,38,80,47.5,4,9,44.4,8,10,80,10,22,32,22,8,14,12,25,9,,,,,,,,,,
UTA,2/1/14,UTA @ LAC,L,241,87,29,81,35.8,10,30,33.3,19,28,67.9,15,27,42,19,5,1,11,27,-15,,,,,,,,,,
MEM,2/1/14,MEM vs. MIL,W,240,99,38,79,48.1,6,10,60,17,22,77.3,13,35,48,22,4,6,12,20,9,,,,,,,,,,
TOR,2/1/14,TOR @ POR,L,239,103,40,87,46,6,20,30,17,25,68,9,29,38,27,2,3,12,30,-3,,,,,,,,,,
WAS,2/1/14,WAS vs. OKC,W,239,96,41,89,46.1,8,24,33.3,6,9,66.7,8,35,43,28,9,2,10,18,15,,,,,,,,,,
OKC,2/1/14,OKC @ WAS,L,240,81,31,78,39.7,4,24,16.7,15,17,88.2,11,35,46,19,4,5,21,18,-15,,,,,,,,,,
MIA,2/1/14,MIA @ NYK,W,240,106,41,76,53.9,8,23,34.8,16,24,66.7,7,27,34,18,10,3,13,20,15,,,,,,,,,,
CHI,2/1/14,CHI @ NOP,L,240,79,27,70,38.6,3,16,18.8,22,33,66.7,16,26,42,20,4,7,17,17,-9,,,,,,,,,,
ATL,2/1/14,ATL vs. MIN,W,239,120,43,92,46.7,9,23,39.1,25,30,83.3,15,33,48,30,12,4,13,27,7,,,,,,,,,,
MIL,2/1/14,MIL @ MEM,L,239,90,30,76,39.5,9,23,39.1,21,25,84,11,27,38,15,8,3,13,21,-9,,,,,,,,,,
LAC,2/1/14,LAC vs. UTA,W,240,102,38,74,51.4,2,12,16.7,24,37,64.9,14,31,45,25,7,6,11,22,15,,,,,,,,,,
SAS,2/1/14,SAS vs. SAC,W,241,95,36,75,48,6,22,27.3,17,26,65.4,7,35,42,23,4,7,13,19,2,,,,,,,,,,
NYK,2/1/14,NYK vs. MIA,L,242,91,33,67,49.3,11,26,42.3,14,23,60.9,9,24,33,14,7,4,17,22,-15,,,,,,,,,,
CLE,2/1/14,CLE @ HOU,L,240,92,38,87,43.7,8,30,26.7,8,10,80,7,25,32,23,8,4,16,24,-14,,,,,,,,,,
CHA,2/1/14,CHA @ PHX,L,239,95,33,79,41.8,8,23,34.8,21,29,72.4,5,29,34,19,7,5,8,18,-10,,,,,,,,,,
DET,2/1/14,DET vs. PHI,W,240,113,41,92,44.6,7,25,28,24,40,60,23,35,58,23,12,8,16,20,17,,,,,,,,,,
MIN,2/1/14,MIN @ ATL,L,241,113,37,84,44,6,16,37.5,33,39,84.6,14,32,46,25,9,7,17,24,-7,,,,,,,,,,
PHI,2/1/14,PHI @ DET,L,239,96,38,89,42.7,5,21,23.8,15,23,65.2,13,31,44,17,12,2,19,28,-17,,,,,,,,,,
SAC,2/1/14,SAC @ SAS,L,240,93,34,83,41,5,14,35.7,20,25,80,8,35,43,15,8,4,9,26,-2,,,,,,,,,,
PHX,2/1/14,PHX vs. CHA,W,239,105,39,80,48.8,7,21,33.3,20,23,87,9,42,51,13,5,4,13,22,10,,,,,,,,,,
HOU,2/1/14,HOU vs. CLE,W,240,106,41,80,51.3,7,26,26.9,17,24,70.8,10,34,44,24,8,7,17,12,14,,,,,,,,,,
IND,2/1/14,IND vs. BKN,W,240,97,31,73,42.5,3,15,20,32,37,86.5,12,34,46,17,7,5,23,20,1,,,,,,,,,,
BKN,2/1/14,BKN @ IND,L,241,96,34,77,44.2,7,23,30.4,21,23,91.3,6,21,27,15,15,7,15,28,-1,,,,,,,,,,
POR,2/1/14,POR vs. TOR,W,240,106,35,76,46.1,8,18,44.4,28,35,80,11,31,42,20,5,3,14,24,3,,,,,,,,,,
BKN,1/31/14,BKN vs. OKC,L,239,95,35,74,47.3,11,24,45.8,14,17,82.4,3,14,17,18,13,3,13,21,-25,,,,,,,,,,
MIN,1/31/14,MIN vs. MEM,L,240,90,39,84,46.4,6,22,27.3,6,7,85.7,9,37,46,18,5,4,14,20,-4,,,,,,,,,,
SAC,1/31/14,SAC @ DAL,L,240,103,38,75,50.7,7,21,33.3,20,23,87,10,29,39,20,4,6,14,26,-4,,,,,,,,,,
DEN,1/31/14,DEN vs. TOR,L,240,90,36,80,45,8,21,38.1,10,14,71.4,12,37,49,27,9,6,25,19,-10,,,,,,,,,,
PHI,1/31/14,PHI vs. ATL,L,241,99,32,87,36.8,6,22,27.3,29,37,78.4,13,33,46,19,10,4,19,25,-26,,,,,,,,,,
MIL,1/31/14,MIL @ ORL,L,239,102,39,87,44.8,10,21,47.6,14,24,58.3,12,31,43,23,8,7,15,20,-11,,,,,,,,,,
ORL,1/31/14,ORL vs. MIL,W,240,113,43,83,51.8,7,16,43.8,20,25,80,6,38,44,27,10,4,15,22,11,,,,,,,,,,
CHA,1/31/14,CHA @ LAL,W,240,110,46,88,52.3,2,11,18.2,16,22,72.7,7,42,49,28,7,2,9,20,10,,,,,,,,,,
OKC,1/31/14,OKC @ BKN,W,239,120,49,77,63.6,5,15,33.3,17,20,85,10,31,41,28,9,7,16,19,25,,,,,,,,,,
LAL,1/31/14,LAL vs. CHA,L,239,100,36,93,38.7,6,26,23.1,22,27,81.5,9,32,41,23,5,3,8,23,-10,,,,,,,,,,
UTA,1/31/14,UTA vs. GSW,L,241,90,35,73,47.9,3,9,33.3,17,21,81,6,36,42,18,3,3,18,22,-5,,,,,,,,,,
GSW,1/31/14,GSW @ UTA,W,241,95,33,88,37.5,10,26,38.5,19,24,79.2,14,29,43,17,9,5,8,22,5,,,,,,,,,,
DAL,1/31/14,DAL vs. SAC,W,242,107,38,80,47.5,2,19,10.5,29,36,80.6,12,25,37,21,10,2,4,18,4,,,,,,,,,,
TOR,1/31/14,TOR @ DEN,W,241,100,37,85,43.5,8,21,38.1,18,20,90,9,31,40,24,10,7,14,18,10,,,,,,,,,,
MEM,1/31/14,MEM @ MIN,W,241,94,38,80,47.5,4,12,33.3,14,22,63.6,9,29,38,19,10,6,9,11,4,,,,,,,,,,
ATL,1/31/14,ATL @ PHI,W,242,125,45,89,50.6,8,16,50,27,34,79.4,9,37,46,36,15,4,18,22,26,,,,,,,,,,
GSW,1/30/14,GSW vs. LAC,W,242,111,45,91,49.5,6,21,28.6,15,20,75,16,37,53,24,8,5,11,21,19,,,,,,,,,,
LAC,1/30/14,LAC @ GSW,L,242,92,31,76,40.8,8,24,33.3,22,34,64.7,8,26,34,17,6,1,13,15,-19,,,,,,,,,,
CLE,1/30/14,CLE @ NYK,L,240,86,31,87,35.6,8,23,34.8,16,22,72.7,13,23,36,14,10,2,12,25,-31,,,,,,,,,,
IND,1/30/14,IND vs. PHX,L,239,94,38,87,43.7,1,15,6.7,17,24,70.8,14,33,47,15,2,6,15,23,-8,,,,,,,,,,
PHX,1/30/14,PHX @ IND,W,239,102,39,91,42.9,8,17,47.1,16,20,80,11,35,46,18,6,4,12,21,8,,,,,,,,,,
NYK,1/30/14,NYK vs. CLE,W,240,117,43,76,56.6,12,26,46.2,19,28,67.9,8,36,44,21,5,10,16,18,31,,,,,,,,,,
ORL,1/29/14,ORL @ TOR,L,240,83,28,84,33.3,6,19,31.6,21,26,80.8,10,29,39,17,10,5,6,14,-15,,,,,,,,,,
DEN,1/29/14,DEN vs. CHA,L,239,98,39,100,39,9,28,32.1,11,13,84.6,9,34,43,20,6,2,11,28,-3,,,,,,,,,,
WAS,1/29/14,WAS @ LAC,L,241,103,45,88,51.1,3,22,13.6,10,17,58.8,6,30,36,31,10,4,16,26,-7,,,,,,,,,,
TOR,1/29/14,TOR vs. ORL,W,239,98,37,87,42.5,14,31,45.2,10,13,76.9,13,41,54,26,5,3,14,20,15,,,,,,,,,,
CHA,1/29/14,CHA @ DEN,W,240,101,33,78,42.3,5,14,35.7,30,42,71.4,7,46,53,18,5,7,16,16,3,,,,,,,,,,
MIL,1/29/14,MIL vs. PHX,L,240,117,38,89,42.7,7,19,36.8,34,36,94.4,11,25,36,22,3,3,9,25,-9,,,,,,,,,,
LAC,1/29/14,LAC vs. WAS,W,240,110,36,73,49.3,6,15,40,32,42,76.2,8,35,43,21,5,3,19,16,7,,,,,,,,,,
MIA,1/29/14,MIA vs. OKC,L,241,95,37,72,51.4,3,19,15.8,18,22,81.8,10,27,37,20,4,2,20,15,-17,,,,,,,,,,
SAC,1/29/14,SAC vs. MEM,L,240,89,38,79,48.1,5,21,23.8,8,8,100,13,21,34,20,5,2,15,12,-10,,,,,,,,,,
CHI,1/29/14,CHI @ SAS,W,242,96,37,83,44.6,4,12,33.3,18,23,78.3,14,25,39,21,9,8,7,18,10,,,,,,,,,,
MIN,1/29/14,MIN vs. NOP,W,239,88,33,82,40.2,4,20,20,18,25,72,12,38,50,23,3,3,13,21,11,,,,,,,,,,
DAL,1/29/14,DAL vs. HOU,L,241,115,40,86,46.5,5,19,26.3,30,36,83.3,13,28,41,20,5,4,14,29,-2,,,,,,,,,,
NOP,1/29/14,NOP @ MIN,L,240,77,29,82,35.4,2,21,9.5,17,23,73.9,13,35,48,12,4,6,13,26,-11,,,,,,,,,,
PHI,1/29/14,PHI @ BOS,W,240,95,37,86,43,7,21,33.3,14,25,56,7,33,40,26,8,3,10,24,1,,,,,,,,,,
BOS,1/29/14,BOS vs. PHI,L,242,94,32,87,36.8,7,19,36.8,23,30,76.7,18,41,59,20,8,7,17,21,-1,,,,,,,,,,
SAS,1/29/14,SAS vs. CHI,L,240,86,33,71,46.5,5,13,38.5,15,16,93.8,6,25,31,16,5,2,19,23,-10,,,,,,,,,,
HOU,1/29/14,HOU @ DAL,W,240,117,41,74,55.4,9,21,42.9,26,36,72.2,10,32,42,24,8,1,17,29,2,,,,,,,,,,
OKC,1/29/14,OKC @ MIA,W,240,112,41,80,51.3,16,27,59.3,14,19,73.7,11,23,34,23,13,2,12,16,17,,,,,,,,,,
PHX,1/29/14,PHX @ MIL,W,241,126,42,78,53.8,12,23,52.2,30,32,93.8,8,28,36,28,8,4,15,29,9,,,,,,,,,,
MEM,1/29/14,MEM @ SAC,W,241,99,41,75,54.7,4,14,28.6,13,16,81.3,9,22,31,24,11,4,12,15,10,,,,,,,,,,
WAS,1/28/14,WAS @ GSW,W,241,88,34,90,37.8,10,22,45.5,10,15,66.7,12,44,56,20,10,4,18,17,3,,,,,,,,,,
HOU,1/28/14,HOU vs. SAS,W,240,97,33,75,44,5,18,27.8,26,47,55.3,19,36,55,18,5,4,15,21,7,,,,,,,,,,
MEM,1/28/14,MEM @ POR,W,239,98,43,83,51.8,6,13,46.2,6,10,60,9,37,46,24,9,2,13,20,17,,,,,,,,,,
POR,1/28/14,POR vs. MEM,L,241,81,30,87,34.5,4,24,16.7,17,22,77.3,12,28,40,18,4,2,12,12,-17,,,,,,,,,,
NOP,1/28/14,NOP @ CLE,W,241,100,39,74,52.7,4,13,30.8,18,23,78.3,6,35,41,27,7,10,13,23,11,,,,,,,,,,
IND,1/28/14,IND @ LAL,W,241,104,42,99,42.4,5,21,23.8,15,27,55.6,17,46,63,23,7,2,4,16,12,,,,,,,,,,
CLE,1/28/14,CLE vs. NOP,L,240,89,33,80,41.3,6,15,40,17,27,63,10,25,35,22,10,2,11,16,-11,,,,,,,,,,
ORL,1/28/14,ORL @ DET,L,240,87,32,77,41.6,8,20,40,15,25,60,8,32,40,19,10,2,15,17,-16,,,,,,,,,,
LAL,1/28/14,LAL vs. IND,L,241,92,37,94,39.4,5,24,20.8,13,16,81.3,7,43,50,24,3,4,9,18,-12,,,,,,,,,,
SAS,1/28/14,SAS @ HOU,L,239,90,35,82,42.7,6,23,26.1,14,21,66.7,13,26,39,23,6,8,11,31,-7,,,,,,,,,,
GSW,1/28/14,GSW vs. WAS,L,241,85,30,80,37.5,7,23,30.4,18,23,78.3,5,42,47,19,12,6,19,16,-3,,,,,,,,,,
NYK,1/28/14,NYK vs. BOS,W,240,114,44,82,53.7,10,20,50,16,23,69.6,12,34,46,25,9,7,15,20,26,,,,,,,,,,
DET,1/28/14,DET vs. ORL,W,242,103,39,86,45.3,6,20,30,19,28,67.9,17,39,56,22,7,7,15,20,16,,,,,,,,,,
BOS,1/28/14,BOS @ NYK,L,238,88,32,82,39,6,22,27.3,18,24,75,13,27,40,21,8,2,17,22,-26,,,,,,,,,,
OKC,1/27/14,OKC vs. ATL,W,241,111,43,82,52.4,13,25,52,12,18,66.7,10,23,33,23,8,10,14,12,2,,,,,,,,,,
MIN,1/27/14,MIN @ CHI,W,240,95,34,73,46.6,5,17,29.4,22,26,84.6,5,35,40,20,8,8,14,14,9,,,,,,,,,,
CHI,1/27/14,CHI vs. MIN,L,240,86,32,85,37.6,8,24,33.3,14,16,87.5,11,31,42,20,9,4,13,25,-9,,,,,,,,,,
BKN,1/27/14,BKN vs. TOR,L,240,103,37,77,48.1,11,24,45.8,18,22,81.8,5,31,36,22,10,4,17,20,-1,,,,,,,,,,
TOR,1/27/14,TOR @ BKN,W,239,104,37,79,46.8,9,22,40.9,21,26,80.8,10,33,43,21,8,3,18,18,1,,,,,,,,,,
MIL,1/27/14,MIL vs. LAC,L,240,86,34,89,38.2,4,22,18.2,14,22,63.6,17,24,41,24,6,3,11,15,-28,,,,,,,,,,
PHI,1/27/14,PHI vs. PHX,L,240,113,40,87,46,8,20,40,25,26,96.2,14,23,37,23,11,3,21,27,-11,,,,,,,,,,
SAC,1/27/14,SAC @ UTA,L,239,99,37,90,41.1,5,22,22.7,20,26,76.9,20,35,55,15,3,5,10,36,-7,,,,,,,,,,
ATL,1/27/14,ATL @ OKC,L,240,109,43,88,48.9,12,25,48,11,12,91.7,15,25,40,25,8,2,15,17,-2,,,,,,,,,,
PHX,1/27/14,PHX @ PHI,W,239,124,43,80,53.8,9,20,45,29,35,82.9,13,29,42,25,11,12,19,25,11,,,,,,,,,,
LAC,1/27/14,LAC @ MIL,W,240,114,43,79,54.4,14,28,50,14,19,73.7,11,36,47,29,9,3,17,25,28,,,,,,,,,,
UTA,1/27/14,UTA vs. SAC,W,240,106,32,80,40,7,20,35,35,53,66,19,35,54,20,6,3,8,23,7,,,,,,,,,,
BOS,1/26/14,BOS vs. BKN,L,239,79,28,75,37.3,7,26,26.9,16,19,84.2,12,33,45,17,6,5,15,21,-6,,,,,,,,,,
NYK,1/26/14,NYK vs. LAL,W,240,110,43,90,47.8,11,26,42.3,13,18,72.2,16,29,45,21,4,6,11,19,7,,,,,,,,,,
SAS,1/26/14,SAS @ MIA,L,240,101,38,76,50,6,22,27.3,19,23,82.6,6,22,28,24,8,4,12,17,-12,,,,,,,,,,
BKN,1/26/14,BKN @ BOS,W,239,85,33,84,39.3,6,25,24,13,18,72.2,10,32,42,20,9,3,11,20,6,,,,,,,,,,
MIA,1/26/14,MIA vs. SAS,W,242,113,43,74,58.1,8,19,42.1,19,20,95,7,30,37,28,6,5,14,22,12,,,,,,,,,,
SAC,1/26/14,SAC vs. DEN,L,239,117,42,81,51.9,4,16,25,29,34,85.3,9,32,41,23,10,1,16,31,-8,,,,,,,,,,
LAL,1/26/14,LAL @ NYK,L,240,103,39,75,52,11,23,47.8,14,18,77.8,5,30,35,16,6,3,11,20,-7,,,,,,,,,,
NOP,1/26/14,NOP vs. ORL,W,242,100,37,81,45.7,5,12,41.7,21,27,77.8,16,32,48,21,10,10,14,26,8,,,,,,,,,,
CLE,1/26/14,CLE vs. PHX,L,240,90,34,86,39.5,5,16,31.3,17,24,70.8,14,29,43,23,6,3,14,23,-9,,,,,,,,,,
POR,1/26/14,POR @ GSW,L,241,88,28,83,33.7,6,21,28.6,26,33,78.8,12,42,54,16,3,6,14,19,-15,,,,,,,,,,
DAL,1/26/14,DAL vs. DET,W,240,116,43,74,58.1,7,21,33.3,23,28,82.1,7,32,39,23,6,7,17,19,10,,,,,,,,,,
ORL,1/26/14,ORL @ NOP,L,240,92,36,77,46.8,3,15,20,17,19,89.5,4,28,32,15,7,2,16,24,-8,,,,,,,,,,
DEN,1/26/14,DEN @ SAC,W,239,125,42,81,51.9,10,25,40,31,40,77.5,6,31,37,28,11,5,11,25,8,,,,,,,,,,
PHX,1/26/14,PHX @ CLE,W,239,99,34,82,41.5,9,27,33.3,22,28,78.6,14,36,50,23,6,2,12,24,9,,,,,,,,,,
GSW,1/26/14,GSW vs. POR,W,238,103,38,91,41.8,10,25,40,17,21,81,10,41,51,22,8,4,9,21,15,,,,,,,,,,
DET,1/26/14,DET @ DAL,L,241,106,43,91,47.3,4,13,30.8,16,28,57.1,17,24,41,18,10,0,12,21,-10,,,,,,,,,,
CHA,1/25/14,CHA vs. CHI,L,240,87,37,88,42,6,19,31.6,7,10,70,11,34,45,24,3,8,15,18,-2,,,,,,,,,,
ATL,1/25/14,ATL @ MIL,W,241,112,40,76,52.6,13,26,50,19,25,76,4,31,35,26,10,2,13,19,25,,,,,,,,,,
POR,1/25/14,POR vs. MIN,W,241,115,46,95,48.4,4,16,25,19,24,79.2,13,37,50,26,7,5,12,23,11,,,,,,,,,,
OKC,1/25/14,OKC @ PHI,W,241,103,40,76,52.6,4,21,19,19,25,76,9,35,44,23,10,8,20,21,12,,,,,,,,,,
WAS,1/25/14,WAS @ UTA,L,240,101,39,91,42.9,7,20,35,16,18,88.9,14,33,47,19,6,3,9,18,-3,,,,,,,,,,
IND,1/25/14,IND @ DEN,L,241,96,37,88,42,5,12,41.7,17,27,63,10,41,51,20,5,2,16,27,-13,,,,,,,,,,
LAC,1/25/14,LAC @ TOR,W,239,126,46,84,54.8,12,22,54.5,22,25,88,8,24,32,20,10,1,6,23,8,,,,,,,,,,
CHI,1/25/14,CHI @ CHA,W,241,89,31,77,40.3,11,23,47.8,16,22,72.7,4,37,41,24,11,5,13,16,2,,,,,,,,,,
MIL,1/25/14,MIL vs. ATL,L,240,87,38,82,46.3,5,21,23.8,6,13,46.2,13,26,39,23,6,5,19,26,-25,,,,,,,,,,
DEN,1/25/14,DEN vs. IND,W,240,109,40,83,48.2,8,20,40,21,37,56.8,5,41,46,26,8,6,14,21,13,,,,,,,,,,
HOU,1/25/14,HOU @ MEM,L,240,81,30,81,37,9,32,28.1,12,17,70.6,10,28,38,14,3,5,15,15,-18,,,,,,,,,,
PHI,1/25/14,PHI vs. OKC,L,240,91,34,90,37.8,4,27,14.8,19,27,70.4,19,25,44,22,15,4,15,22,-12,,,,,,,,,,
TOR,1/25/14,TOR vs. LAC,L,238,118,36,74,48.6,14,29,48.3,32,38,84.2,15,27,42,24,4,1,14,22,-8,,,,,,,,,,
UTA,1/25/14,UTA vs. WAS,W,239,104,38,81,46.9,10,24,41.7,18,22,81.8,8,33,41,17,5,1,11,14,3,,,,,,,,,,
MIN,1/25/14,MIN @ POR,L,239,104,38,89,42.7,9,22,40.9,19,22,86.4,8,32,40,24,5,5,10,22,-11,,,,,,,,,,
MEM,1/25/14,MEM vs. HOU,W,241,99,41,88,46.6,7,19,36.8,10,14,71.4,16,36,52,23,8,5,11,23,18,,,,,,,,,,
ATL,1/24/14,ATL vs. SAS,L,240,79,29,76,38.2,2,13,15.4,19,27,70.4,9,27,36,18,13,6,17,17,-26,,,,,,,,,,
PHI,1/24/14,PHI vs. TOR,L,238,95,38,89,42.7,6,20,30,13,16,81.3,10,32,42,23,8,2,10,18,-9,,,,,,,,,,
IND,1/24/14,IND @ SAC,W,265,116,41,95,43.2,8,24,33.3,26,33,78.8,14,35,49,25,10,9,12,24,5,,,,,,,,,,
NYK,1/24/14,NYK vs. CHA,W,240,125,50,90,55.6,14,27,51.9,11,11,100,12,30,42,23,7,4,4,19,29,,,,,,,,,,
MIN,1/24/14,MIN @ GSW,W,239,121,47,94,50,9,22,40.9,18,28,64.3,14,30,44,29,9,3,12,18,1,,,,,,,,,,
LAC,1/24/14,LAC @ CHI,W,242,112,41,76,53.9,13,21,61.9,17,26,65.4,10,30,40,26,4,2,7,17,17,,,,,,,,,,
SAC,1/24/14,SAC vs. IND,L,265,111,39,101,38.6,12,32,37.5,21,29,72.4,19,34,53,14,3,2,18,32,-5,,,,,,,,,,
TOR,1/24/14,TOR @ PHI,W,241,104,40,84,47.6,8,20,40,16,22,72.7,13,40,53,28,4,6,15,22,9,,,,,,,,,,
BKN,1/24/14,BKN vs. DAL,W,240,107,37,73,50.7,10,27,37,23,28,82.1,5,30,35,24,6,5,15,29,1,,,,,,,,,,
GSW,1/24/14,GSW vs. MIN,L,241,120,49,89,55.1,9,22,40.9,13,15,86.7,9,32,41,31,4,8,14,26,-1,,,,,,,,,,
BOS,1/24/14,BOS vs. OKC,L,239,83,32,75,42.7,5,27,18.5,14,19,73.7,11,21,32,24,7,0,16,12,-18,,,,,,,,,,
WAS,1/24/14,WAS @ PHX,W,240,101,39,86,45.3,6,16,37.5,17,23,73.9,19,25,44,22,13,7,17,24,6,,,,,,,,,,
OKC,1/24/14,OKC @ BOS,W,242,101,43,80,53.8,5,13,38.5,10,13,76.9,12,33,45,24,8,2,15,18,18,,,,,,,,,,
CHA,1/24/14,CHA @ NYK,L,239,96,37,76,48.7,10,24,41.7,12,14,85.7,6,25,31,23,1,3,11,11,-29,,,,,,,,,,
LAL,1/24/14,LAL @ ORL,L,241,105,41,90,45.6,12,22,54.5,11,17,64.7,7,33,40,28,6,5,11,20,-9,,,,,,,,,,
CLE,1/24/14,CLE vs. MIL,W,238,93,37,88,42,4,14,28.6,15,23,65.2,21,31,52,28,9,5,12,18,15,,,,,,,,,,
DET,1/24/14,DET vs. NOP,L,240,101,37,85,43.5,6,18,33.3,21,28,75,17,27,44,18,11,4,16,21,-2,,,,,,,,,,
PHX,1/24/14,PHX vs. WAS,L,240,95,34,71,47.9,7,22,31.8,20,25,80,9,21,30,19,8,3,21,24,-6,,,,,,,,,,
CHI,1/24/14,CHI vs. LAC,L,241,95,40,93,43,6,19,31.6,9,11,81.8,20,26,46,27,5,2,8,17,-17,,,,,,,,,,
SAS,1/24/14,SAS @ ATL,W,240,105,41,84,48.8,11,18,61.1,12,17,70.6,15,39,54,26,7,6,22,21,26,,,,,,,,,,
MEM,1/24/14,MEM @ HOU,W,238,88,36,78,46.2,4,7,57.1,12,16,75,11,31,42,21,5,3,15,16,1,,,,,,,,,,
MIL,1/24/14,MIL @ CLE,L,240,78,30,74,40.5,7,24,29.2,11,14,78.6,8,26,34,20,6,9,15,20,-15,,,,,,,,,,
ORL,1/24/14,ORL vs. LAL,W,240,114,39,81,48.1,9,17,52.9,27,34,79.4,8,43,51,24,10,3,15,20,9,,,,,,,,,,
HOU,1/24/14,HOU vs. MEM,L,240,87,32,79,40.5,14,34,41.2,9,14,64.3,7,24,31,21,7,4,13,19,-1,,,,,,,,,,
DAL,1/24/14,DAL @ BKN,L,242,106,34,78,43.6,10,20,50,28,33,84.8,15,28,43,22,6,0,15,21,-1,,,,,,,,,,
NOP,1/24/14,NOP @ DET,W,241,103,37,73,50.7,7,17,41.2,22,24,91.7,8,27,35,15,14,8,18,25,2,,,,,,,,,,
DEN,1/23/14,DEN @ POR,L,241,105,39,79,49.4,10,23,43.5,17,20,85,7,28,35,27,5,6,19,30,-5,,,,,,,,,,
LAL,1/23/14,LAL @ MIA,L,240,102,40,88,45.5,9,25,36,13,21,61.9,13,22,35,21,12,1,11,17,-7,,,,,,,,,,
MIA,1/23/14,MIA vs. LAL,W,239,109,45,78,57.7,8,20,40,11,23,47.8,12,36,48,25,7,4,18,23,7,,,,,,,,,,
POR,1/23/14,POR vs. DEN,W,240,110,38,88,43.2,4,18,22.2,30,34,88.2,16,24,40,29,7,6,9,21,5,,,,,,,,,,
CLE,1/22/14,CLE vs. CHI,L,240,87,33,88,37.5,8,19,42.1,13,18,72.2,19,22,41,23,7,2,9,18,-11,,,,,,,,,,
NYK,1/22/14,NYK vs. PHI,L,240,106,37,82,45.1,15,33,45.5,17,24,70.8,8,31,39,24,7,12,13,24,-4,,,,,,,,,,
ORL,1/22/14,ORL vs. ATL,L,241,109,41,83,49.4,6,12,50,21,24,87.5,6,27,33,24,7,1,14,23,-3,,,,,,,,,,
DAL,1/22/14,DAL @ TOR,L,239,85,34,73,46.6,7,20,35,10,14,71.4,7,26,33,22,5,1,21,24,-8,,,,,,,,,,
TOR,1/22/14,TOR vs. DAL,W,241,93,32,76,42.1,7,23,30.4,22,32,68.8,9,31,40,20,11,1,13,19,8,,,,,,,,,,
HOU,1/22/14,HOU vs. SAC,W,240,119,43,90,47.8,8,31,25.8,25,40,62.5,14,41,55,29,8,9,10,21,21,,,,,,,,,,
DET,1/22/14,DET @ MIL,L,240,101,36,84,42.9,4,15,26.7,25,34,73.5,9,31,40,21,11,4,14,15,-3,,,,,,,,,,
ATL,1/22/14,ATL @ ORL,W,239,112,41,83,49.4,9,25,36,21,24,87.5,8,34,42,26,11,7,17,13,3,,,,,,,,,,
SAC,1/22/14,SAC @ HOU,L,240,98,34,86,39.5,12,30,40,18,30,60,11,31,42,19,5,6,13,26,-21,,,,,,,,,,
BOS,1/22/14,BOS @ WAS,W,266,113,41,89,46.1,15,34,44.1,16,23,69.6,5,37,42,21,15,8,18,22,2,,,,,,,,,,
CHI,1/22/14,CHI @ CLE,W,240,98,37,70,52.9,10,21,47.6,14,18,77.8,7,36,43,24,5,8,10,19,11,,,,,,,,,,
OKC,1/22/14,OKC @ SAS,W,240,111,45,83,54.2,10,18,55.6,11,16,68.8,11,27,38,21,8,7,15,25,6,,,,,,,,,,
PHX,1/22/14,PHX vs. IND,W,239,124,45,83,54.2,11,16,68.8,23,32,71.9,7,28,35,15,9,0,9,23,24,,,,,,,,,,
WAS,1/22/14,WAS vs. BOS,L,264,111,42,94,44.7,7,22,31.8,20,27,74.1,12,38,50,23,10,4,18,23,-2,,,,,,,,,,
SAS,1/22/14,SAS vs. OKC,L,239,105,40,75,53.3,10,22,45.5,15,22,68.2,8,22,30,25,10,3,17,17,-6,,,,,,,,,,
IND,1/22/14,IND @ PHX,L,239,100,38,75,50.7,5,15,33.3,19,28,67.9,10,29,39,14,6,4,20,28,-24,,,,,,,,,,
CHA,1/22/14,CHA vs. LAC,W,240,95,39,84,46.4,5,15,33.3,12,20,60,7,34,41,22,6,6,10,17,4,,,,,,,,,,
LAC,1/22/14,LAC @ CHA,L,240,91,39,90,43.3,6,26,23.1,7,9,77.8,10,33,43,24,5,4,13,19,-4,,,,,,,,,,
PHI,1/22/14,PHI @ NYK,W,240,110,42,88,47.7,9,14,64.3,17,24,70.8,17,37,54,28,8,4,14,24,4,,,,,,,,,,
MIL,1/22/14,MIL vs. DET,W,240,104,41,84,48.8,8,27,29.6,14,22,63.6,12,33,45,29,11,7,18,24,3,,,,,,,,,,
